RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE
424679,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
425383,202410,M,20대,경상북도,500이상700만원 미만,개별 여행,여행경험없음
426614,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
428582,202410,M,20대,전라북도,모름,개별 여행,여행경험없음
430402,202410,M,20대,경기도,700만원 이상,개별 여행,여행경험없음
430752,202410,F,20대,전라남도,모름,개별 여행,여행경험없음
431072,202410,M,20대,경기도,700만원 이상,여행경험없음,개별 여행
431746,202410,M,20대,서울특별시,700만원 이상,개별 여행,개별 여행
432463,202410,M,20대,경상북도,모름,개별 여행,개별 여행
434348,202410,M,20대,경기도,모름,개별 여행,여행경험없음
436106,202410,M,20대,인천광역시,모름,개별 여행,여행경험없음
436156,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
443855,202410,M,20대,대구광역시,모름,개별 여행,여행경험없음
443956,202410,F,20대,대구광역시,700만원 이상,개별 여행,여행경험없음
444347,202410,F,20대,전라북도,모름,개별 여행,여행경험없음
445389,202410,M,20대,대구광역시,모름,여행경험없음,개별 여행
445957,202410,M,20대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음
446599,202410,M,20대,대구광역시,모름,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행
446820,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
447341,202410,M,60대,경기도,500이상700만원 미만,개별 여행,단체 패키지 여행
447439,202410,M,20대,경기도,모름,개별 여행,여행경험없음
447830,202410,M,20대,인천광역시,모름,개별 여행,여행경험없음
449522,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
451594,202410,M,20대,서울특별시,300이상500만원 미만,에어텔 또는 에어카텔 패키지 여행,개별 여행
453320,202410,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행
453626,202410,F,20대,대구광역시,모름,개별 여행,여행경험없음
455236,202410,M,40대,전라남도,500이상700만원 미만,개별 여행,여행경험없음
456255,202410,M,20대,전라남도,500이상700만원 미만,개별 여행,여행경험없음
456332,202410,M,30대,대구광역시,700만원 이상,개별 여행,여행경험없음
457196,202410,M,20대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음
457757,202410,F,20대,대구광역시,모름,개별 여행,개별 여행
457884,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
458554,202410,F,20대,경기도,모름,개별 여행,여행경험없음
459747,202410,M,20대,대구광역시,모름,개별 여행,여행경험없음
460366,202410,M,20대,충청남도(세종시 포함),모름,단체 패키지 여행,에어텔 또는 에어카텔 패키지 여행
462061,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
463088,202410,M,20대,인천광역시,300이상500만원 미만,개별 여행,여행경험없음
463128,202410,M,20대,경기도,모름,개별 여행,여행경험없음
463216,202410,M,20대,경기도,700만원 이상,단체 패키지 여행,개별 여행
463797,202410,F,20대,경상북도,300이상500만원 미만,개별 여행,단체 패키지 여행
464102,202410,F,20대,경상북도,모름,개별 여행,여행경험없음
464151,202410,M,20대,경기도,700만원 이상,개별 여행,개별 여행
464152,202410,M,20대,부산광역시,700만원 이상,단체 패키지 여행,여행경험없음
464239,202410,M,20대,울산광역시,모름,여행경험없음,에어텔 또는 에어카텔 패키지 여행
464617,202410,M,20대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음
465090,202410,M,20대,경기도,모름,개별 여행,여행경험없음
465516,202410,M,20대,대구광역시,300이상500만원 미만,여행경험없음,개별 여행
466892,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
467912,202410,M,20대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,개별 여행
467993,202410,M,20대,경기도,300이상500만원 미만,개별 여행,여행경험없음
468235,202410,M,20대,대전광역시,300이상500만원 미만,단체 패키지 여행,단체 패키지 여행
469030,202410,M,20대,광주광역시,모름,개별 여행,개별 여행
469479,202410,M,20대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
470100,202410,M,20대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음
470528,202410,M,20대,경기도,300이상500만원 미만,개별 여행,개별 여행
471334,202410,M,20대,경상북도,모름,개별 여행,여행경험없음
473185,202410,M,20대,울산광역시,모름,여행경험없음,단체 패키지 여행
473192,202410,M,20대,경기도,모름,개별 여행,개별 여행
473544,202410,M,20대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음
473682,202410,M,20대,서울특별시,700만원 이상,개별 여행,개별 여행
474947,202410,M,20대,서울특별시,300이상500만원 미만,개별 여행,개별 여행
474952,202410,M,20대,부산광역시,300만원 미만,에어텔 또는 에어카텔 패키지 여행,개별 여행
475098,202410,M,20대,경기도,300이상500만원 미만,여행경험없음,개별 여행
475380,202410,M,20대,전라남도,300만원 미만,개별 여행,개별 여행
477859,202410,M,60대,경기도,500이상700만원 미만,개별 여행,여행경험없음
478051,202410,M,20대,부산광역시,300만원 미만,여행경험없음,개별 여행
478515,202410,F,20대,대구광역시,모름,여행경험없음,단체 패키지 여행
478599,202410,M,20대,강원도,모름,개별 여행,여행경험없음
478688,202410,M,20대,경상북도,모름,개별 여행,여행경험없음
478919,202410,F,20대,전라북도,700만원 이상,개별 여행,여행경험없음
479058,202410,M,20대,인천광역시,700만원 이상,개별 여행,여행경험없음
479089,202410,M,20대,서울특별시,300이상500만원 미만,개별 여행,개별 여행
479161,202410,M,20대,경기도,300이상500만원 미만,개별 여행,여행경험없음
479163,202410,M,20대,울산광역시,700만원 이상,여행경험없음,개별 여행
479279,202410,M,20대,경기도,모름,개별 여행,여행경험없음
479286,202410,M,20대,충청북도,모름,개별 여행,여행경험없음
479615,202410,M,20대,충청북도,모름,개별 여행,여행경험없음
53322175,202410,F,20대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행
53322178,202410,M,30대,서울특별시,700만원 이상,여행경험없음,개별 여행
53322184,202410,M,40대,서울특별시,700만원 이상,개별 여행,개별 여행
53322197,202410,M,30대,서울특별시,300이상500만원 미만,개별 여행,개별 여행
53322231,202410,M,20대,서울특별시,모름,여행경험없음,개별 여행
53322248,202410,M,30대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53322256,202410,F,50대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
53322261,202410,M,60대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행
53322264,202410,F,50대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53322268,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,단체 패키지 여행
53322292,202410,F,50대,서울특별시,500이상700만원 미만,여행경험없음,에어텔 또는 에어카텔 패키지 여행
53322319,202410,F,50대,서울특별시,300이상500만원 미만,여행경험없음,개별 여행
53322341,202410,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음
53322349,202410,F,60대,서울특별시,300만원 미만,개별 여행,여행경험없음
53322439,202410,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행
53322442,202410,F,50대,서울특별시,700만원 이상,개별 여행,에어텔 또는 에어카텔 패키지 여행
53322450,202410,M,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
53322452,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53322673,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53322675,202410,M,40대,서울특별시,700만원 이상,개별 여행,여행경험없음
53322711,202410,M,40대,서울특별시,700만원 이상,개별 여행,개별 여행
53322715,202410,F,40대,서울특별시,700만원 이상,개별 여행,여행경험없음
53322749,202410,F,20대,서울특별시,모름,개별 여행,개별 여행
53322838,202410,F,40대,서울특별시,모름,여행경험없음,단체 패키지 여행
53322893,202410,M,50대,서울특별시,모름,개별 여행,여행경험없음
53322903,202410,F,60대,서울특별시,300만원 미만,개별 여행,여행경험없음
53322978,202410,F,60대,서울특별시,700만원 이상,여행경험없음,단체 패키지 여행
53323064,202410,M,60대,서울특별시,모름,개별 여행,여행경험없음
53323133,202410,M,50대,경기도,모름,개별 여행,여행경험없음
53323203,202410,M,40대,서울특별시,300만원 미만,개별 여행,여행경험없음
53323289,202410,M,60대,서울특별시,300이상500만원 미만,단체 패키지 여행,여행경험없음
53323337,202410,F,30대,서울특별시,700만원 이상,개별 여행,개별 여행
53323361,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행
53323495,202410,M,30대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
53323543,202410,M,30대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53323556,202410,M,40대,서울특별시,700만원 이상,개별 여행,개별 여행
53323649,202410,M,30대,서울특별시,500이상700만원 미만,여행경험없음,개별 여행
53323661,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,단체 패키지 여행
53323685,202410,F,30대,서울특별시,모름,개별 여행,개별 여행
53323764,202410,F,40대,서울특별시,700만원 이상,개별 여행,여행경험없음
53323767,202410,F,60대,서울특별시,700만원 이상,여행경험없음,개별 여행
53323788,202410,M,40대,서울특별시,700만원 이상,여행경험없음,개별 여행
53323802,202410,F,60대,서울특별시,모름,개별 여행,개별 여행
53323829,202410,M,60대,서울특별시,700만원 이상,개별 여행,여행경험없음
53323846,202410,F,20대,서울특별시,모름,개별 여행,개별 여행
53323871,202410,M,40대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53323970,202410,M,50대,경기도,700만원 이상,여행경험없음,개별 여행
53323980,202410,M,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53323990,202410,M,60대,서울특별시,700만원 이상,개별 여행,여행경험없음
53323998,202410,M,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53324000,202410,F,60대,서울특별시,700만원 이상,개별 여행,개별 여행
53324033,202410,F,30대,서울특별시,700만원 이상,개별 여행,여행경험없음
53324084,202410,M,60대,서울특별시,500이상700만원 미만,여행경험없음,단체 패키지 여행
53324104,202410,F,60대,서울특별시,300만원 미만,여행경험없음,개별 여행
53324203,202410,F,50대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행
53324210,202410,F,50대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
53324231,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53324305,202410,F,50대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53324318,202410,M,60대,서울특별시,700만원 이상,여행경험없음,개별 여행
53324408,202410,M,30대,서울특별시,500이상700만원 미만,개별 여행,개별 여행
53324433,202410,F,30대,서울특별시,700만원 이상,개별 여행,개별 여행
53324446,202410,M,20대,서울특별시,모름,여행경험없음,개별 여행
53324455,202410,M,20대,서울특별시,모름,개별 여행,여행경험없음
53324543,202410,F,20대,서울특별시,300만원 미만,여행경험없음,개별 여행
53324665,202410,F,30대,서울특별시,700만원 이상,개별 여행,여행경험없음
53324699,202410,M,50대,서울특별시,700만원 이상,개별 여행,개별 여행
53324740,202410,F,50대,경기도,700만원 이상,개별 여행,개별 여행
53324858,202410,F,60대,서울특별시,300만원 미만,개별 여행,여행경험없음
53324923,202410,M,60대,서울특별시,500이상700만원 미만,개별 여행,단체 패키지 여행
53324937,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53325030,202410,F,50대,서울특별시,500이상700만원 미만,에어텔 또는 에어카텔 패키지 여행,여행경험없음
53325058,202410,M,60대,서울특별시,700만원 이상,단체 패키지 여행,단체 패키지 여행
53325110,202410,F,60대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음
53325121,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
53325127,202410,M,60대,서울특별시,300만원 미만,여행경험없음,단체 패키지 여행
53325128,202410,M,60대,서울특별시,700만원 이상,개별 여행,개별 여행
53325148,202410,F,60대,서울특별시,700만원 이상,개별 여행,단체 패키지 여행
53325195,202410,M,50대,서울특별시,700만원 이상,개별 여행,여행경험없음
53325247,202410,F,60대,서울특별시,모름,개별 여행,개별 여행
53325261,202410,M,50대,서울특별시,모름,개별 여행,여행경험없음
53325421,202410,M,20대,제주도,모름,개별 여행,여행경험없음
53325444,202410,F,60대,경기도,300이상500만원 미만,개별 여행,개별 여행
53325523,202410,F,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음
53325625,202410,F,30대,서울특별시,모름,여행경험없음,개별 여행
53325650,202410,M,30대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음
53325651,202410,M,50대,광주광역시,모름,개별 여행,단체 패키지 여행
53325671,202410,F,30대,경기도,500이상700만원 미만,개별 여행,개별 여행
53325676,202410,F,30대,경기도,700만원 이상,여행경험없음,개별 여행
53325698,202410,M,50대,경기도,500이상700만원 미만,개별 여행,여행경험없음
53325699,202410,M,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음
53325789,202410,F,30대,경상북도,700만원 이상,개별 여행,여행경험없음
53325793,202410,F,30대,부산광역시,모름,개별 여행,여행경험없음
53325795,202410,F,50대,서울특별시,모름,개별 여행,여행경험없음
53325835,202410,M,60대,부산광역시,300이상500만원 미만,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행
53325871,202410,F,40대,경기도,모름,개별 여행,단체 패키지 여행
53325901,202410,F,50대,경기도,700만원 이상,개별 여행,여행경험없음
53325912,202410,F,40대,경상북도,모름,개별 여행,여행경험없음
53325967,202410,F,50대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음
53326001,202410,F,40대,강원도,모름,개별 여행,에어텔 또는 에어카텔 패키지 여행
53326003,202410,M,60대,경기도,300이상500만원 미만,여행경험없음,개별 여행
53326017,202410,F,60대,충청북도,700만원 이상,단체 패키지 여행,여행경험없음
53326024,202410,F,20대,강원도,300만원 미만,개별 여행,여행경험없음
53326027,202410,M,40대,서울특별시,700만원 이상,개별 여행,여행경험없음
53326028,202410,F,30대,서울특별시,모름,여행경험없음,개별 여행
53326041,202410,F,30대,경상남도,300이상500만원 미만,개별 여행,여행경험없음
53326043,202410,F,40대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53326056,202410,F,40대,충청남도(세종시 포함),700만원 이상,개별 여행,여행경험없음
53326163,202410,F,60대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53326168,202410,F,40대,경상남도,모름,개별 여행,여행경험없음
53326175,202410,F,40대,대구광역시,모름,개별 여행,여행경험없음
53326190,202410,M,40대,대구광역시,500이상700만원 미만,개별 여행,여행경험없음
53326264,202410,F,40대,경상남도,300만원 미만,개별 여행,여행경험없음
53326271,202410,F,40대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53326290,202410,F,50대,경기도,300이상500만원 미만,개별 여행,여행경험없음
53326330,202410,M,40대,경기도,500이상700만원 미만,개별 여행,개별 여행
53326339,202410,M,50대,경기도,700만원 이상,개별 여행,여행경험없음
53326356,202410,M,40대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음
53326362,202410,M,30대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음
53326363,202410,M,50대,울산광역시,300이상500만원 미만,개별 여행,개별 여행
53326370,202410,M,30대,대전광역시,300만원 미만,여행경험없음,개별 여행
53326457,202410,M,30대,경기도,모름,개별 여행,개별 여행
53326459,202410,F,40대,대구광역시,300만원 미만,개별 여행,여행경험없음
53326464,202410,M,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음
53326500,202410,M,40대,경기도,700만원 이상,여행경험없음,개별 여행
53326504,202410,F,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음
53326522,202410,M,30대,경기도,500이상700만원 미만,개별 여행,개별 여행
