RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
53330472,20250707,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,경상북도,영덕군,4명,1박 2일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,모름,20250622
53330539,20250707,10~20만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,혼자서,3박 4일,M,50대,기혼,자녀 성장(막내 중고생),판매/서비스직,300만원 미만,20250616
53330901,20250707,20~30만원 미만,1만원 미만,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,2명,2박 3일,M,30대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,500~700만원 미만,20250606
53330940,20250707,20~30만원 미만,1~3만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,5~7만원 미만,충청남도,보령시/부여군/예산군,모름,2박 3일,F,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,700만원 이상,20250415
53331062,20250707,20~30만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,5~7만원 미만,경기도,고양시,혼자서,2박 3일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만,20250417
53331123,20250707,10~20만원 미만,3~5만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,성주군,4명,1박 2일,M,30대,미혼,미혼,사무/기술직,모름,20250628
53331236,20250707,10~20만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,충청남도,태안군,5명 이상,1박 2일,M,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상,20250425
53331304,20250707,30~40만원 미만,3~5만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,경상북도,영덕군,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,500~700만원 미만,20250609
53331370,20250707,10만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,전라남도,나주시/담양군/목포시/순천시,4명,2박 3일,F,20대,미혼,미혼,사무/기술직,700만원 이상,20250504
53331550,20250707,10~20만원 미만,1만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,용인시,2명,1박 2일,M,30대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,500~700만원 미만,20250607
