RESPOND_ID,EXAMIN_BEGIN_DE_x,TOUR_CTPRVN_NM_x,TOUR_SIGNGU_NM_x,TOUR_BEGIN_DE,TOUR_PD_VALUE_x,TOUR_COM_NMPR_NM_x,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD_x,AGRDE_FLAG_NM_x,MRRG_AT_NM_x,CHLDRN_TY_NM_x,OCCP_NM_x,HSHLD_INCOME_DGREE_NM_x,EXAMIN_BEGIN_DE_y,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM_y,TOUR_SIGNGU_NM_y,TOUR_COM_NMPR_NM_y,TOUR_PD_VALUE_y,SEXDSTN_FLAG_CD_y,AGRDE_FLAG_NM_y,MRRG_AT_NM_y,CHLDRN_TY_NM_y,OCCP_NM_y,HSHLD_INCOME_DGREE_NM_y
53362480,20241014,경상북도,칠곡군,20240916,1박 2일,혼자서,혼자서,,,,,,식도락 (지역 특색/제철 음식),M,50대,미혼,미혼,기타/무직,300만원 미만,20241014,30~40만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,10만원 이상,1만원 미만,경상북도,칠곡군,혼자서,1박 2일,M,50대,미혼,미혼,기타/무직,300만원 미만
53362508,20241014,전라남도,여수시,20240701,1박 2일,2명,부모/형제/자녀 등 가족,,,,,,식도락 (지역 특색/제철 음식),F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상,20241014,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,여수시,2명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),사무/기술직,700만원 이상
53362980,20241014,강원도,속초시,20241003,3박 4일,모름,부모/형제/자녀 등 가족,,,,,,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,500~700만원 미만,20241014,20~30만원 미만,1만원 미만,7~10만원 미만,3~5만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,강원도,속초시,모름,3박 4일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,500~700만원 미만
53363014,20241014,충청북도,제천시,20240905,1박 2일,2명,연인,,,,,,취미-운동 활동 (등산/ 낚시/ 골프 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만,20241014,10~20만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,충청북도,제천시,2명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만
53363642,20241014,인천시,모름,20240813,2박 3일,4명,배우자,부모/형제/자녀 등 가족,,,,,역사-유적 감상 (유적지/ 박물관 등),F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만,20241014,30~40만원 미만,10만원 이상,3~5만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,인천시,모름,4명,2박 3일,F,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
53363898,20241014,경기도,안산시,20240824,1박 2일,5명 이상,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,F,30대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상,20241014,20~30만원 미만,10만원 이상,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경기도,안산시,5명 이상,1박 2일,F,30대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상
53363932,20241014,강원도,강릉시,20240803,1박 2일,4명,부모/형제/자녀 등 가족,,,,,,휴식,F,20대,미혼,미혼,사무/기술직,500~700만원 미만,20241014,10~20만원 미만,3~5만원 미만,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,4명,1박 2일,F,20대,미혼,미혼,사무/기술직,500~700만원 미만
53363976,20241014,강원도,고성군,20241004,1박 2일,4명,부모/형제/자녀 등 가족,,,,,,휴식,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,700만원 이상,20241014,20~30만원 미만,10만원 이상,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,강원도,고성군,4명,1박 2일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,700만원 이상
53364015,20241014,부산시,모름,20240726,1박 2일,5명 이상,부모/형제/자녀 등 가족,,,,,,친지/친구/친척 만나기,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만,20241014,모름,모름,모름,모름,모름,모름,모름,부산시,모름,5명 이상,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만
53364480,20241014,부산시,모름,20240729,3박 4일,2명,배우자,,,,,,휴식,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20241014,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,부산시,모름,2명,3박 4일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
