RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_BEGIN_DE_FROM_ERA
105156,20250224,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,부산시,모름,2명,1박 2일,M,60대 이상,기혼,자녀 독립(막내 결혼),기능/숙련/일반작업직,300~500만원 미만,20241130
156439,20250224,30~40만원 미만,10만원 이상,5~7만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,1만원 미만,경기도,고양시,혼자서,3박 4일,M,30대,미혼,미혼,기타/무직,500~700만원 미만,20241106
194194,20250224,모름,모름,모름,모름,모름,모름,모름,울산시,모름,혼자서,2박 3일,F,60대 이상,기혼,신혼기(자녀 없음),기타/무직,300만원 미만,20241226
216319,20250224,10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상남도,함안군/함양군,2명,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),사무/기술직,300~500만원 미만,20241123
224121,20250224,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경기도,양평군,혼자서,2박 3일,M,30대,미혼,미혼,사무/기술직,모름,20241109
237501,20250224,모름,모름,모름,모름,모름,모름,모름,경상북도,경주시,5명 이상,1박 2일,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,20241214
306059,20250224,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,1만원 미만,제주도,서귀포시(시내동),4명,2박 3일,M,20대,미혼,미혼,사무/기술직,모름,20241220
318735,20250224,20~30만원 미만,1만원 미만,10만원 이상,7~10만원 미만,3~5만원 미만,1만원 미만,1만원 미만,경기도,평택시,2명,6박 7일 이상,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만,20241117
415749,20250224,모름,모름,모름,모름,모름,모름,모름,서울시,모름,2명,4박 5일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,500~700만원 미만,20241104
434348,20250224,모름,모름,모름,모름,모름,모름,모름,경상북도,안동시,4명,2박 3일,M,20대,미혼,미혼,대학/대학원생,모름,20241201
437339,20250224,모름,모름,모름,모름,모름,모름,모름,강원도,강릉시/속초시/원주시,혼자서,1박 2일,M,30대,미혼,미혼,사무/기술직,500~700만원 미만,20241109
459319,20250224,모름,모름,모름,모름,모름,모름,모름,광주시,모름,혼자서,1박 2일,M,20대,미혼,미혼,기타/무직,모름,20241101
468726,20250224,모름,모름,모름,모름,모름,모름,모름,부산시,모름,2명,1박 2일,M,20대,미혼,미혼,경영/관리/전문직,300~500만원 미만,20241123
469479,20250224,10만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,7~10만원 미만,경기도,파주시,2명,1박 2일,M,20대,기혼,신혼기(자녀 없음),사무/기술직,모름,20241108
470073,20250224,모름,모름,모름,모름,모름,모름,모름,경기도,의정부시,혼자서,모름,F,20대,미혼,미혼,판매/서비스직,모름,20241101
