RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,DMSTC_STYLE_GROUP,OVSEA_STYLE_GROUP,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_SCOPE,EXAMIN_QUARTER
53339154,202506,F,30대,강원도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339180,202506,M,60대,제주도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339208,202506,F,20대,경기도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339209,202506,F,30대,경기도,700만원 이상,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53339240,202506,F,60대,경상남도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339253,202506,F,30대,광주광역시,300이상500만원 미만,개별 여행,에어텔 또는 에어카텔 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53339291,202506,M,40대,경기도,300이상500만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53339301,202506,M,50대,충청북도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339354,202506,M,40대,대구광역시,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53339384,202506,F,50대,인천광역시,300만원 미만,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53339505,202506,M,50대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339534,202506,M,30대,인천광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339545,202506,F,30대,경기도,300만원 미만,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53339585,202506,F,40대,서울특별시,700만원 이상,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53339606,202506,F,30대,경상북도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339608,202506,F,60대,서울특별시,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53339631,202506,F,40대,인천광역시,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339645,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339653,202506,M,40대,충청북도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339693,202506,M,60대,경상북도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339735,202506,M,40대,광주광역시,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339767,202506,M,50대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339796,202506,M,50대,경기도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53339843,202506,F,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339869,202506,F,50대,부산광역시,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53339888,202506,F,50대,경상남도,모름,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53339890,202506,M,50대,대구광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339959,202506,F,50대,충청북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53339977,202506,F,50대,경기도,300만원 미만,여행경험없음,단체 패키지 여행,해당사항 없음,패키지여행,False,True,해외만,2
53339988,202506,M,60대,경상북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340026,202506,F,60대,광주광역시,300이상500만원 미만,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53340083,202506,M,60대,경기도,모름,에어텔 또는 에어카텔 패키지 여행,개별 여행,패키지여행,개별여행,True,True,국내외 모두,2
53340126,202506,F,30대,대전광역시,500이상700만원 미만,에어텔 또는 에어카텔 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53340141,202506,M,30대,경기도,300만원 미만,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53340166,202506,F,30대,대전광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340223,202506,M,20대,경기도,모름,에어텔 또는 에어카텔 패키지 여행,개별 여행,패키지여행,개별여행,True,True,국내외 모두,2
53340228,202506,F,50대,광주광역시,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340259,202506,M,40대,경상남도,모름,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53340282,202506,M,30대,경상남도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340306,202506,F,40대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340321,202506,M,40대,충청남도(세종시 포함),모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340359,202506,F,40대,대전광역시,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340372,202506,F,50대,인천광역시,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340386,202506,M,20대,경기도,300이상500만원 미만,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53340501,202506,F,40대,경기도,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340516,202506,F,20대,대구광역시,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340525,202506,M,40대,울산광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340540,202506,F,60대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340542,202506,F,30대,경기도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340549,202506,M,50대,경상남도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340564,202506,F,50대,경기도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340613,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340622,202506,F,50대,경기도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340635,202506,M,50대,경상남도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340642,202506,F,50대,경상북도,모름,여행경험없음,단체 패키지 여행,해당사항 없음,패키지여행,False,True,해외만,2
53340650,202506,F,40대,경상북도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340666,202506,M,30대,울산광역시,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340706,202506,M,40대,서울특별시,300이상500만원 미만,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53340732,202506,F,40대,경상북도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340765,202506,F,30대,경기도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53340777,202506,M,20대,전라남도,300이상500만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340823,202506,M,60대,경기도,300만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53340897,202506,F,40대,경상남도,500이상700만원 미만,개별 여행,에어텔 또는 에어카텔 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53341008,202506,F,40대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341018,202506,F,20대,광주광역시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341062,202506,M,30대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341097,202506,F,50대,서울특별시,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341121,202506,M,50대,전라남도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341134,202506,F,50대,충청남도(세종시 포함),300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341159,202506,F,30대,경기도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341168,202506,M,60대,경상남도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341178,202506,M,40대,울산광역시,모름,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53341204,202506,F,60대,대구광역시,500이상700만원 미만,여행경험없음,단체 패키지 여행,해당사항 없음,패키지여행,False,True,해외만,2
53341243,202506,F,40대,경기도,모름,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행,패키지여행,패키지여행,True,True,국내외 모두,2
53341341,202506,F,30대,전라남도,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341367,202506,F,20대,인천광역시,500이상700만원 미만,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53341386,202506,M,40대,대구광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341431,202506,F,20대,경상북도,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341442,202506,M,40대,경상남도,300만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341483,202506,F,20대,전라남도,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341491,202506,M,40대,경기도,500이상700만원 미만,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53341513,202506,M,40대,경기도,700만원 이상,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341526,202506,M,60대,제주도,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341597,202506,M,60대,대구광역시,700만원 이상,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341636,202506,F,50대,대구광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341710,202506,F,30대,경상남도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341747,202506,M,60대,대구광역시,300만원 미만,단체 패키지 여행,여행경험없음,패키지여행,해당사항 없음,True,False,국내만,2
53341770,202506,F,50대,경상남도,700만원 이상,개별 여행,에어텔 또는 에어카텔 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53341781,202506,M,60대,대전광역시,500이상700만원 미만,개별 여행,단체 패키지 여행,개별여행,패키지여행,True,True,국내외 모두,2
53341790,202506,M,60대,충청남도(세종시 포함),500이상700만원 미만,여행경험없음,개별 여행,해당사항 없음,개별여행,False,True,해외만,2
53341796,202506,M,20대,인천광역시,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341803,202506,M,50대,대구광역시,700만원 이상,에어텔 또는 에어카텔 패키지 여행,단체 패키지 여행,패키지여행,패키지여행,True,True,국내외 모두,2
53341891,202506,F,30대,경기도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341953,202506,F,50대,충청북도,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53341956,202506,M,30대,경상북도,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341992,202506,F,30대,울산광역시,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341998,202506,M,40대,인천광역시,500이상700만원 미만,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53341999,202506,F,30대,충청남도(세종시 포함),모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342037,202506,F,30대,경상남도,모름,개별 여행,개별 여행,개별여행,개별여행,True,True,국내외 모두,2
53342042,202506,F,30대,울산광역시,300이상500만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342053,202506,F,40대,서울특별시,모름,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342065,202506,F,40대,광주광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
53342088,202506,F,40대,경기도,500이상700만원 미만,여행경험없음,단체 패키지 여행,해당사항 없음,패키지여행,False,True,해외만,2
53342120,202506,F,50대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음,개별여행,해당사항 없음,True,False,국내만,2
