RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE,OVSEA_TOUR_TY_VALUE,HAS_DMSTC_EXP,HAS_OVSEA_EXP,TRAVEL_STYLE_SCOPE
53332622,202506,F,30대,경기도,모름,개별 여행,개별 여행,True,True,국내+해외
53332634,202506,F,30대,부산광역시,모름,개별 여행,개별 여행,True,True,국내+해외
53332661,202506,F,20대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53332702,202506,F,50대,경기도,500이상700만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53332809,202506,F,20대,부산광역시,모름,개별 여행,여행경험없음,True,False,국내만
53332850,202506,F,40대,대구광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53332869,202506,F,60대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53332912,202506,F,50대,부산광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333040,202506,M,40대,인천광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333074,202506,F,20대,경상북도,모름,여행경험없음,개별 여행,False,True,해외만
53333081,202506,F,40대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53333093,202506,F,40대,광주광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333133,202506,F,60대,전라북도,모름,개별 여행,여행경험없음,True,False,국내만
53333164,202506,M,20대,광주광역시,모름,개별 여행,개별 여행,True,True,국내+해외
53333226,202506,M,40대,부산광역시,300이상500만원 미만,여행경험없음,개별 여행,False,True,해외만
53333231,202506,F,40대,부산광역시,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53333254,202506,F,50대,부산광역시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
53333256,202506,F,50대,경기도,300만원 미만,에어텔 또는 에어카텔 패키지 여행,여행경험없음,True,False,국내만
53333307,202506,M,20대,서울특별시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333323,202506,F,30대,서울특별시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53333337,202506,M,30대,경기도,모름,개별 여행,개별 여행,True,True,국내+해외
53333349,202506,M,20대,인천광역시,500이상700만원 미만,개별 여행,개별 여행,True,True,국내+해외
53333366,202506,F,30대,대구광역시,모름,개별 여행,여행경험없음,True,False,국내만
53333376,202506,F,50대,대구광역시,모름,여행경험없음,개별 여행,False,True,해외만
53333406,202506,M,30대,대구광역시,모름,개별 여행,여행경험없음,True,False,국내만
53333436,202506,M,50대,경상남도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53333496,202506,M,40대,부산광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53333497,202506,M,50대,서울특별시,300이상500만원 미만,개별 여행,개별 여행,True,True,국내+해외
53333521,202506,F,60대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53333573,202506,M,50대,부산광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53333674,202506,F,30대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53333764,202506,M,60대,경상남도,모름,여행경험없음,단체 패키지 여행,False,True,해외만
53333780,202506,M,30대,경기도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333806,202506,M,60대,경상북도,300만원 미만,여행경험없음,단체 패키지 여행,False,True,해외만
53333848,202506,M,40대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53333871,202506,M,30대,대구광역시,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53333881,202506,M,30대,부산광역시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53333891,202506,M,50대,충청남도(세종시 포함),700만원 이상,개별 여행,여행경험없음,True,False,국내만
53333919,202506,F,50대,대전광역시,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53333992,202506,F,30대,경상북도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53334022,202506,M,50대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53334057,202506,F,40대,전라남도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53334098,202506,M,60대,경상남도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53334099,202506,M,50대,경기도,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53334136,202506,F,30대,경기도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53334237,202506,F,40대,경상북도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53334271,202506,M,50대,서울특별시,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53334306,202506,M,40대,경기도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
53334337,202506,F,30대,대전광역시,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53334371,202506,M,40대,경기도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53334445,202506,F,40대,경상북도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53334470,202506,F,40대,충청남도(세종시 포함),500이상700만원 미만,단체 패키지 여행,여행경험없음,True,False,국내만
53334495,202506,F,50대,경기도,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53334519,202506,M,60대,부산광역시,300만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53334526,202506,F,40대,부산광역시,모름,여행경험없음,개별 여행,False,True,해외만
53334551,202506,F,20대,충청남도(세종시 포함),500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53334579,202506,M,20대,경상남도,모름,여행경험없음,개별 여행,False,True,해외만
53334592,202506,M,30대,경기도,500이상700만원 미만,에어텔 또는 에어카텔 패키지 여행,에어텔 또는 에어카텔 패키지 여행,True,True,국내+해외
53334594,202506,F,40대,부산광역시,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53334617,202506,M,20대,경상남도,300만원 미만,개별 여행,개별 여행,True,True,국내+해외
53334620,202506,F,40대,경기도,700만원 이상,여행경험없음,개별 여행,False,True,해외만
53334624,202506,M,50대,대구광역시,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53334634,202506,F,50대,경상남도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53334644,202506,F,30대,부산광역시,300만원 미만,개별 여행,개별 여행,True,True,국내+해외
53334647,202506,F,40대,광주광역시,모름,개별 여행,여행경험없음,True,False,국내만
53334659,202506,F,60대,충청북도,300만원 미만,개별 여행,단체 패키지 여행,True,True,국내+해외
53334831,202506,F,50대,서울특별시,700만원 이상,개별 여행,개별 여행,True,True,국내+해외
53334871,202506,F,50대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53334986,202506,M,60대,광주광역시,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53335122,202506,F,30대,서울특별시,모름,여행경험없음,단체 패키지 여행,False,True,해외만
53335168,202506,F,60대,경상남도,700만원 이상,개별 여행,여행경험없음,True,False,국내만
53335170,202506,M,50대,서울특별시,모름,개별 여행,여행경험없음,True,False,국내만
53335174,202506,M,50대,경상북도,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53335223,202506,M,50대,부산광역시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53335256,202506,F,50대,경기도,모름,개별 여행,여행경험없음,True,False,국내만
53335258,202506,M,50대,경기도,700만원 이상,개별 여행,단체 패키지 여행,True,True,국내+해외
53335274,202506,F,40대,부산광역시,300만원 미만,개별 여행,여행경험없음,True,False,국내만
53335292,202506,M,50대,인천광역시,500이상700만원 미만,개별 여행,여행경험없음,True,False,국내만
53335297,202506,F,60대,경상북도,300이상500만원 미만,개별 여행,여행경험없음,True,False,국내만
