RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_TOT_CT_VALUE_NUM,TOUR_LDGMNT_CT_VALUE_NUM,TOUR_FOOD_CT_VALUE_NUM,TOUR_TRNSPORT_CT_VALUE_NUM,TOUR_SHOPNG_CT_VALUE_NUM,TOUR_ACTVTY_CT_VALUE_NUM,TOUR_ETC_CT_VALUE_NUM,TOUR_PD_VALUE_NUM,TOUR_COM_NMPR_NM_NUM,TRAVEL_MONTH,IS_PEAK_SEASON,TOTAL_EXP_ESTIMATED,TRAVEL_STYLE_GROUP
7351,20251013,제주도,남원읍/서귀포시(시내동),20250919,2박 3일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),M,20대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,500~700만원 미만,40만원 이상,7~10만원 미만,7~10만원 미만,7~10만원 미만,3~5만원 미만,1~3만원 미만,10만원 이상,45.0,8.5,8.5,8.5,4.0,2.0,11.5,3.0,1.0,9,True,43.0,혼자여행
8858,20250303,전라북도,무주군,20250203,3박 4일,혼자서,혼자서,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,35.0,11.5,11.5,6.0,0.5,6.0,0.5,4.0,1.0,2,False,36.0,혼자여행
8858,20251013,서울시,모름,20250729,1박 2일,2명,배우자,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,500~700만원 미만,10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,5.0,0.5,0.5,2.0,4.0,2.0,0.5,2.0,2.0,7,True,9.5,소규모동반
12947,20250331,서울시,모름,20250319,1박 2일,2명,배우자,쇼핑,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20~30만원 미만,1만원 미만,10만원 이상,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,25.0,0.5,11.5,4.0,0.5,0.5,0.5,2.0,2.0,3,False,17.5,소규모동반
14132,20250922,서울시,모름,20250629,1박 2일,2명,배우자,도시 경관 감상 (건축물/ 거리 등),F,40대,기혼,신혼기(자녀 없음),기능/숙련/일반작업직,500~700만원 미만,10~20만원 미만,7~10만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,15.0,8.5,6.0,2.0,0.5,0.5,2.0,2.0,2.0,6,True,19.5,소규모동반
14227,20250922,충청남도,공주시/부여군,20250605,3박 4일,2명,배우자,친지/친구/친척 만나기,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,4.0,2.0,6,True,0.0,소규모동반
22543,20251229,전라북도,전주시,20251020,6박 7일 이상,5명 이상,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,7.0,5.0,10,False,0.0,단체동반
25003,20250929,제주도,애월읍/한경면,20250805,3박 4일,5명 이상,부모/형제/자녀 등 가족,휴식,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,300만원 미만,40만원 이상,10만원 이상,5~7만원 미만,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,45.0,11.5,6.0,11.5,0.5,6.0,0.5,4.0,5.0,8,True,36.0,단체동반
26650,20251027,제주도,서귀포시(시내동),20250916,4박 5일,3명,배우자,축제-행사 참여,M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,300만원 미만,30~40만원 미만,5~7만원 미만,5~7만원 미만,5~7만원 미만,10만원 이상,5~7만원 미만,1만원 미만,35.0,6.0,6.0,6.0,11.5,6.0,0.5,5.0,3.0,9,True,36.0,소규모동반
27757,20250609,부산시,모름,20250606,2박 3일,2명,배우자,휴식,F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,500~700만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,2.0,6,True,0.0,소규모동반
27763,20250922,강원도,영월군/평창군,20250825,3박 4일,2명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,700만원 이상,40만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,10만원 이상,45.0,11.5,11.5,11.5,11.5,11.5,11.5,4.0,2.0,8,True,69.0,소규모동반
27860,20251027,전라북도,고창군,20250903,2박 3일,2명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,2.0,9,True,0.0,소규모동반
29178,20251013,인천시,모름,20250902,1박 2일,2명,배우자,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,2.0,9,True,0.0,소규모동반
30149,20251013,경상북도,성주군/청송군,20250712,2박 3일,5명 이상,부모/형제/자녀 등 가족,휴식,M,60대 이상,기혼,자녀 성인(막내 대학),경영/관리/전문직,모름,10~20만원 미만,3~5만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1~3만원 미만,15.0,4.0,6.0,2.0,0.5,0.5,2.0,3.0,5.0,7,True,15.0,단체동반
33120,20251124,경상남도,거제시,20251003,2박 3일,3명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기타,자녀 성인(막내 대학),전업주부,모름,모름,모름,모름,모름,모름,모름,모름,,,,,,,,3.0,3.0,10,False,0.0,소규모동반
33516,20251027,충청북도,단양군,20250910,1박 2일,3명,친구,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,700만원 이상,10~20만원 미만,5~7만원 미만,5~7만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,15.0,6.0,6.0,2.0,4.0,0.5,0.5,2.0,3.0,9,True,19.0,소규모동반
33541,20250428,서울시,모름,20250328,1박 2일,2명,배우자,식도락 (지역 특색/제철 음식),M,60대 이상,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상,20~30만원 미만,3~5만원 미만,7~10만원 미만,7~10만원 미만,1~3만원 미만,5~7만원 미만,1만원 미만,25.0,4.0,8.5,8.5,2.0,6.0,0.5,2.0,2.0,3,False,29.5,소규모동반
33797,20250825,강원도,정선군,20250730,1박 2일,2명,연인,휴식,M,50대,기혼,자녀 독립(막내 결혼),사무/기술직,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,2.0,7,True,0.0,소규모동반
34007,20251027,강원도,강릉시/동해시,20251009,2박 3일,2명,배우자,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,700만원 이상,20~30만원 미만,10만원 이상,3~5만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,25.0,11.5,4.0,4.0,2.0,4.0,0.5,3.0,2.0,10,False,26.0,소규모동반
34062,20251229,경기도,이천시,20251113,1박 2일,3명,직장동료,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,10~20만원 미만,1만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,15.0,0.5,6.0,4.0,2.0,0.5,2.0,2.0,3.0,11,False,15.0,소규모동반
34334,20250324,강원도,강릉시/속초시/양양군,20250110,3박 4일,5명 이상,배우자,식도락 (지역 특색/제철 음식),F,60대 이상,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,700만원 이상,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,25.0,0.5,11.5,2.0,6.0,4.0,0.5,4.0,5.0,1,False,24.5,단체동반
34346,20250526,경상북도,고령군/성주군,20250417,1박 2일,4명,친구,휴식,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,2.0,4.0,4,False,0.0,단체동반
36858,20250519,경기도,화성시,20250516,1박 2일,3명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,M,60대 이상,미혼,미혼,기타/무직,500~700만원 미만,10만원 미만,1만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,0.5,2.0,4.0,0.5,0.5,0.5,2.0,3.0,5,True,8.0,소규모동반
37218,20251027,경상남도,사천시,20251005,1박 2일,3명,배우자,자연 풍경 감상 (산/ 바다 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,700만원 이상,10만원 미만,5~7만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,1만원 미만,5.0,6.0,2.0,2.0,0.5,0.5,0.5,2.0,3.0,10,False,11.5,소규모동반
37301,20250526,대전시,모름,20250430,6박 7일 이상,4명,부모/형제/자녀 등 가족,친지/친구/친척 만나기,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,25.0,0.5,11.5,2.0,2.0,2.0,0.5,7.0,4.0,4,False,18.5,단체동반
37301,20251027,대구시,모름,20251004,1박 2일,4명,부모/형제/자녀 등 가족,도시 경관 감상 (건축물/ 거리 등),F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,300~500만원 미만,10~20만원 미만,1만원 미만,7~10만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,15.0,0.5,8.5,2.0,0.5,2.0,0.5,2.0,4.0,10,False,14.0,단체동반
38127,20250512,경상북도,문경시,20250301,1박 2일,2명,친구,휴식,F,60대 이상,기혼,자녀 독립(막내 결혼),판매/서비스직,700만원 이상,10만원 미만,1만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,1만원 미만,5.0,0.5,2.0,0.5,4.0,0.5,0.5,2.0,2.0,3,False,8.0,소규모동반
38352,20251229,서울시,모름,20251121,3박 4일,4명,배우자,자연 풍경 감상 (산/ 바다 등),F,60대 이상,기혼,자녀 독립(막내 결혼),전업주부,300~500만원 미만,모름,모름,모름,모름,모름,모름,모름,,,,,,,,4.0,4.0,11,False,0.0,단체동반
38674,20251124,전라남도,담양군/순천시,20251021,2박 3일,5명 이상,배우자,기타,F,60대 이상,기혼,자녀 성인(막내 대학),전업주부,500~700만원 미만,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,35.0,0.5,11.5,11.5,0.5,0.5,0.5,3.0,5.0,10,False,25.0,단체동반
39713,20250428,경상북도,포항시,20250314,2박 3일,혼자서,혼자서,역사-유적 감상 (유적지/ 박물관 등),M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만,20~30만원 미만,1만원 미만,5~7만원 미만,10만원 이상,1만원 미만,5~7만원 미만,1만원 미만,25.0,0.5,6.0,11.5,0.5,6.0,0.5,3.0,1.0,3,False,25.0,혼자여행
40332,20251027,서울시,모름,20250809,2박 3일,4명,배우자,문화-예술 즐기기 (미술관/ 공연 등),F,50대,기혼,자녀 성장(막내 중고생),사무/기술직,300~500만원 미만,30~40만원 미만,5~7만원 미만,10만원 이상,3~5만원 미만,10만원 이상,5~7만원 미만,3~5만원 미만,35.0,6.0,11.5,4.0,11.5,6.0,4.0,3.0,4.0,8,True,43.0,단체동반
