row_id,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,weight
211,충청남도,아산시,1.0
212,경상남도,거제시,1.0
213,강원도,철원군,1.0
214,경상북도,김천시,1.0
216,전라북도,정읍시,1.0
218,경상남도,거제시,1.0
219,강원도,태백시,1.0
221,경기도,포천시,1.0
222,제주도,서귀포시(시내동),0.2
222,제주도,애월읍,0.2
222,제주도,제주시(시내동),0.2
222,제주도,한경면,0.2
222,제주도,한림읍,0.2
225,경상북도,칠곡군,1.0
226,전라북도,부안군,1.0
227,강원도,속초시,1.0
228,충청남도,당진시,0.3333333333333333
228,충청남도,보령시,0.3333333333333333
228,충청남도,태안군,0.3333333333333333
229,강원도,정선군,1.0
230,전라북도,남원시,0.5
230,전라북도,익산시,0.5
231,제주도,서귀포시(시내동),1.0
232,강원도,강릉시,1.0
233,강원도,강릉시,0.5
233,강원도,속초시,0.5
234,경상북도,구미시,1.0
235,경기도,부천시,1.0
237,제주도,서귀포시(시내동),1.0
238,경기도,양주시,1.0
241,전라남도,해남군,1.0
242,충청남도,태안군,1.0
244,경기도,용인시,1.0
246,제주도,서귀포시(시내동),0.3333333333333333
246,제주도,성산읍,0.3333333333333333
246,제주도,애월읍,0.3333333333333333
248,강원도,횡성군,1.0
249,제주도,서귀포시(시내동),0.2
249,제주도,성산읍,0.2
249,제주도,애월읍,0.2
249,제주도,제주시(시내동),0.2
249,제주도,조천읍,0.2
251,강원도,강릉시,0.5
251,강원도,평창군,0.5
253,전라남도,담양군,1.0
254,경상북도,문경시,1.0
256,충청남도,부여군,0.5
256,충청남도,홍성군,0.5
257,강원도,강릉시,0.5
257,강원도,양양군,0.5
258,강원도,강릉시,1.0
261,전라북도,전주시,1.0
262,강원도,강릉시,1.0
265,경상북도,경주시,1.0
266,전라북도,부안군,1.0
267,경기도,가평군,1.0
268,강원도,속초시,1.0
269,강원도,양양군,1.0
270,강원도,평창군,1.0
271,강원도,강릉시,1.0
272,경상북도,울릉군,1.0
273,강원도,속초시,1.0
274,경상북도,경주시,1.0
275,제주도,서귀포시(시내동),1.0
277,경상북도,청도군,1.0
278,강원도,태백시,1.0
279,강원도,고성군,1.0
281,제주도,서귀포시(시내동),1.0
283,강원도,태백시,1.0
284,제주도,서귀포시(시내동),1.0
285,강원도,고성군,1.0
287,경상남도,고성군,1.0
291,강원도,평창군,1.0
292,경상남도,사천시,0.3333333333333333
292,경상남도,진주시,0.3333333333333333
292,경상남도,함양군,0.3333333333333333
293,강원도,춘천시,1.0
294,충청남도,논산시,1.0
295,강원도,원주시,1.0
296,충청남도,태안군,1.0
297,전라남도,완도군,0.3333333333333333
297,전라남도,해남군,0.3333333333333333
297,전라남도,화순군,0.3333333333333333
298,경상남도,거제시,1.0
300,강원도,고성군,0.5
300,강원도,속초시,0.5
301,강원도,강릉시,0.3333333333333333
301,강원도,속초시,0.3333333333333333
301,강원도,양양군,0.3333333333333333
302,경기도,연천군,0.5
302,경기도,평택시,0.5
303,강원도,양양군,1.0
304,전라남도,담양군,1.0
305,전라남도,무안군,0.5
305,전라남도,진도군,0.5
306,강원도,원주시,1.0
307,충청남도,보령시,1.0
308,경기도,연천군,1.0
309,전라남도,여수시,1.0
311,강원도,속초시,1.0
312,경상남도,김해시,1.0
313,충청남도,당진시,0.5
313,충청남도,태안군,0.5
314,강원도,강릉시,0.3333333333333333
314,강원도,고성군,0.3333333333333333
314,강원도,속초시,0.3333333333333333
315,경상북도,안동시,1.0
